"Date","Price","Open","High","Low","Vol.","Change %"
"2024-12-22","5.0638","5.0788","5.1069","5.0515","","-0.25%"
"2024-12-15","5.0763","5.1128","5.1218","5.0363","","-0.69%"
"2024-12-08","5.1114","5.1361","5.1544","5.1059","","-0.43%"
"2024-12-01","5.1335","5.1709","5.1984","5.1331","","-0.74%"
"2024-11-24","5.1720","5.1830","5.2029","5.1060","","-0.21%"
"2024-11-17","5.1828","5.1326","5.1956","5.1314","","1.01%"
"2024-11-10","5.1308","5.1616","5.1929","5.1278","","-0.58%"
"2024-11-03","5.1607","5.1072","5.1645","5.1017","","1.13%"
"2024-10-27","5.1028","5.1280","5.1374","5.1037","","-0.43%"
"2024-10-20","5.1248","5.1464","5.1584","5.1242","","-0.40%"
"2024-10-13","5.1453","5.1369","5.1779","5.1313","","0.21%"
"2024-10-06","5.1345","5.1718","5.1956","5.1243","","-0.66%"
"2024-09-29","5.1684","5.1876","5.2086","5.1623","","-0.34%"
"2024-09-22","5.1860","5.1983","5.2398","5.1818","","-0.18%"
"2024-09-15","5.1953","5.2185","5.2291","5.1877","","-0.49%"
"2024-09-08","5.2208","5.2226","5.2514","5.2147","","0.02%"
"2024-09-01","5.2199","5.2561","5.2754","5.2168","","-0.65%"
"2024-08-25","5.2538","5.2750","5.3038","5.2448","","-0.38%"
"2024-08-18","5.2738","5.2314","5.2835","5.2152","","0.72%"
"2024-08-11","5.2360","5.2188","5.2383","5.1990","","0.34%"
"2024-08-04","5.2185","5.1615","5.2294","5.1106","","1.12%"
"2024-07-28","5.1607","5.2409","5.2511","5.1596","","-1.49%"
"2024-07-21","5.2386","5.2954","5.3039","5.2102","","-1.01%"
"2024-07-14","5.2923","5.3172","5.3272","5.2866","","-0.48%"
"2024-07-07","5.3176","5.3273","5.3465","5.3151","","-0.18%"
"2024-06-30","5.3273","5.3127","5.3429","5.2850","","0.30%"
"2024-06-23","5.3115","5.3007","5.3275","5.2901","","0.20%"
"2024-06-16","5.3007","5.2823","5.3096","5.2703","","0.35%"
"2024-06-09","5.2823","5.2686","5.2936","5.2575","","0.33%"
"2024-06-02","5.2648","5.3129","5.3244","5.2629","","-0.91%"
"2024-05-26","5.3129","5.2989","5.3221","5.2703","","0.26%"
"2024-05-19","5.2989","5.3063","5.3199","5.2677","","-0.14%"
"2024-05-12","5.3063","5.2846","5.3119","5.2788","","0.41%"
"2024-05-05","5.2846","5.2898","5.2985","5.2495","","-0.09%"
"2024-04-28","5.2894","5.2998","5.3193","5.2518","","-0.20%"
"2024-04-21","5.2998","5.2618","5.3142","5.2618","","0.71%"
"2024-04-14","5.2626","5.2534","5.2756","5.2262","","0.18%"
"2024-04-07","5.2530","5.3219","5.3369","5.2481","","-1.29%"
"2024-03-31","5.3219","5.3298","5.3661","5.2985","","-0.18%"
"2024-03-24","5.3314","5.3137","5.3425","5.2907","","0.37%"
"2024-03-17","5.3118","5.3142","5.3497","5.2868","","-0.02%"
"2024-03-10","5.3130","5.3305","5.3415","5.3068","","-0.31%"
"2024-03-03","5.3297","5.3072","5.3562","5.2903","","0.44%"
"2024-02-25","5.3064","5.3286","5.3375","5.2896","","-0.39%"
"2024-02-18","5.3270","5.3328","5.3477","5.3095","","-0.12%"
"2024-02-11","5.3332","5.3435","5.3554","5.2932","","-0.20%"
"2024-02-04","5.3439","5.3405","5.3622","5.3065","","0.04%"
"2024-01-28","5.3417","5.3328","5.3710","5.3292","","0.14%"
